Metric,Value
Total Trades,211224.0
Unique Traders,32.0
Unique Coins,246.0
Total Volume USD,1191187442.4600003
Avg Trade Size USD,5639.4512103738225
Buy Trades,102696.0
Sell Trades,108528.0
